Image,CD20p_S,CD3pCD8nPD1n_S,CD3pCD8nPD1p_S,CD3pCD8pPD1n_S,CD3pCD8pPD1p_S,CD68pPDL1n_S,CD68pPDL1p_S,CD79ApCD20n_S,CKpPDL1p_S,Negative_S,PD1p_S,CD20p_E,CD3pCD8nPD1n_E,CD3pCD8nPD1p_E,CD3pCD8pPD1n_E,CD3pCD8pPD1p_E,CD68pPDL1n_E,CD68pPDL1p_E,CD79ApCD20n_E,CKpPDL1p_E,Negative_E,PD1p_E,area_stroma,area_epi,SEC_ROW_COL,ID
"CIHR DOD WU3IROC_Core[3,1,5]_[19963,47879]_component_data.tif - resolution #1",4,13,10,7,4,61,6,42,0,3403,6,1,6,6,3,26,48,9,2,0,1022,4,0.23467960000000002,0.0994555,"3,1,5",096
"CIHR DOD WU3IROC_Core[3,1,6]_[19916,49144]_component_data.tif - resolution #1",1,46,31,11,20,112,2,39,0,2950,17,1,7,6,5,16,38,5,6,0,756,1,0.2378396,0.0712289,"3,1,6",096
"CIHR DOD WU3IROC_Core[3,1,7]_[19772,50409]_component_data.tif - resolution #1",0,46,27,47,14,162,7,11,0,956,14,0,5,3,8,12,28,0,0,0,645,2,0.1570081,0.07958180000000001,"3,1,7",097(lov)
"CIHR DOD WU3IROC_Core[3,1,8]_[19605,51722]_component_data.tif - resolution #1",0,54,40,67,15,225,22,0,1,751,1,0,8,2,7,5,45,17,0,0,805,0,0.1744512,0.1009712,"3,1,8",097(lov)
"CIHR DOD WU3IROC_Core[3,2,3]_[18865,45421]_component_data.tif - resolution #1",35,89,78,49,50,39,66,78,3,378,35,35,139,183,448,464,81,311,15,66,2656,95,0.0612624,0.2782,"3,2,3",099(lov)
"CIHR DOD WU3IROC_Core[3,2,5]_[18698,47832]_component_data.tif - resolution #1",0,13,5,2,0,70,0,0,0,591,0,0,8,5,2,0,85,0,0,0,2713,1,0.1174743,0.21623879999999998,"3,2,5",098(om)
"CIHR DOD WU3IROC_Core[3,2,6]_[18698,49120]_component_data.tif - resolution #1",1,11,6,12,2,187,3,0,0,847,3,0,7,3,2,1,133,0,0,3,2039,0,0.1510005,0.1917841,"3,2,6",098(om)
"CIHR DOD WU3IROC_Core[3,2,7]_[18508,50290]_component_data.tif - resolution #1",0,1,0,1,0,19,0,0,0,334,1,0,0,2,1,1,240,0,0,0,4446,3,0.0404949,0.29973879999999997,"3,2,7",098(rov)
"CIHR DOD WU3IROC_Core[3,2,8]_[18388,51531]_component_data.tif - resolution #1",0,0,0,0,0,2,0,0,0,188,0,0,0,0,0,0,260,0,0,0,4185,0,0.0155114,0.32045090000000004,"3,2,8",098(rov)
"CIHR DOD WU3IROC_Core[3,3,3]_[17529,45159]_component_data.tif - resolution #1",0,0,1,0,1,19,1,0,0,192,0,2,8,2,0,1,22,3,0,0,2732,0,0.07294139999999999,0.37140670000000003,"3,3,3",106(rov)
"CIHR DOD WU3IROC_Core[3,3,4]_[17505,46328]_component_data.tif - resolution #1",1,10,16,6,5,47,0,0,0,355,2,0,5,3,1,3,14,1,0,0,1681,0,0.0692277,0.198112,"3,3,4",106(rov)
"CIHR DOD WU3IROC_Core[3,3,7]_[17219,50051]_component_data.tif - resolution #1",0,0,1,0,0,9,1,0,0,370,0,1,3,2,0,1,39,6,0,2,2701,0,0.0496071,0.236582,"3,3,7",110(ov)
"CIHR DOD WU3IROC_Core[3,3,8]_[17147,51316]_component_data.tif - resolution #1",1,0,0,0,1,25,7,0,14,368,1,0,1,0,1,0,25,6,0,0,2931,3,0.0558797,0.2346836,"3,3,8",110(ov)
"CIHR DOD WU3IROC_Core[3,3,9]_[16956,52557]_component_data.tif - resolution #1",3,57,20,51,4,170,15,3,0,1022,11,3,4,4,5,1,10,2,0,0,490,2,0.2086045,0.0541711,"3,3,9",032(om)
"CIHR DOD WU3IROC_Core[3,4,10]_[15596,53583]_component_data.tif - resolution #1",58,222,195,80,41,106,30,33,9,839,98,3,4,1,2,8,31,1,0,0,1433,1,0.1396498,0.16252129999999998,"3,4,10",063(om)
"CIHR DOD WU3IROC_Core[3,4,5]_[16240,47617]_component_data.tif - resolution #1",0,0,2,1,2,8,3,0,0,84,0,1,12,19,14,40,63,7,7,1,3164,14,0.0283985,0.2936201,"3,4,5",113(lov)
"CIHR DOD WU3IROC_Core[3,4,6]_[16145,48786]_component_data.tif - resolution #1",3,84,65,23,73,117,178,203,11,734,18,2,11,10,20,85,28,111,3,32,965,7,0.2152074,0.1265777,"3,4,6",113(lov)
"CIHR DOD WU3IROC_Core[3,4,8]_[15930,51125]_component_data.tif - resolution #1",0,0,4,0,2,93,2,0,0,391,2,0,0,3,0,0,68,0,1,0,2663,2,0.0527394,0.26321859999999997,"3,4,8",111(rov)
"CIHR DOD WU3IROC_Core[3,4,9]_[15739,52318]_component_data.tif - resolution #1",0,1,3,2,1,51,1,0,0,646,4,0,3,3,1,3,46,1,0,0,3271,2,0.0610923,0.3130235,"3,4,9",063(om)
